MLP Model:
NetWork(
  (fc): Sequential(
    (0): Linear(in_features=186, out_features=256, bias=True)
    (1): Dropout(p=0.5, inplace=False)
    (2): ReLU()
    (3): Linear(in_features=256, out_features=128, bias=True)
    (4): Dropout(p=0.5, inplace=False)
    (5): ReLU()
    (6): Linear(in_features=128, out_features=5, bias=True)
  )
)
tensor([0.0392, 0.0202, 0.0357, 0.0465, 0.0192], device='cuda:0')
Epoch [1/1000], Loss: 0.9162, Saved!
Epoch [1/1000], Loss: 0.9162, Acc: 0.6123,ValidSet Acc: 0.2292
Epoch [2/1000], Loss: 1.7186, Acc: 0.4290,ValidSet Acc: 0.2292
Epoch [3/1000], Loss: 1.8792, Acc: 0.3835,ValidSet Acc: 0.2292
Epoch [4/1000], Loss: 1.7203, Acc: 0.4055,ValidSet Acc: 0.2135
Epoch [5/1000], Loss: 1.7890, Acc: 0.3717,ValidSet Acc: 0.2135
Epoch [6/1000], Loss: 1.5436, Acc: 0.4131,ValidSet Acc: 0.2135
Epoch [7/1000], Loss: 1.6156, Acc: 0.4445,ValidSet Acc: 0.2344
Epoch [8/1000], Loss: 1.5505, Acc: 0.4709,ValidSet Acc: 0.2344
Epoch [9/1000], Loss: 1.5492, Acc: 0.4220,ValidSet Acc: 0.2344
Epoch [10/1000], Loss: 1.6354, Acc: 0.4525,ValidSet Acc: 0.2344
Epoch [11/1000], Loss: 1.4867, Acc: 0.4535,ValidSet Acc: 0.2344
Epoch [12/1000], Loss: 1.5932, Acc: 0.4098,ValidSet Acc: 0.2344
Epoch [13/1000], Loss: 1.5052, Acc: 0.4610,ValidSet Acc: 0.2344
Epoch [14/1000], Loss: 1.5650, Acc: 0.4164,ValidSet Acc: 0.2344
Epoch [15/1000], Loss: 1.4447, Acc: 0.4511,ValidSet Acc: 0.1979
Epoch [16/1000], Loss: 1.5348, Acc: 0.4328,ValidSet Acc: 0.1979
Epoch [17/1000], Loss: 1.5392, Acc: 0.4384,ValidSet Acc: 0.1979
Epoch [18/1000], Loss: 1.3976, Acc: 0.4558,ValidSet Acc: 0.1979
