MLP Model:
NetWork(
  (fc): Sequential(
    (0): Linear(in_features=186, out_features=256, bias=True)
    (1): Dropout(p=0.5, inplace=False)
    (2): ReLU()
    (3): Linear(in_features=256, out_features=128, bias=True)
    (4): Dropout(p=0.5, inplace=False)
    (5): ReLU()
    (6): Linear(in_features=128, out_features=5, bias=True)
  )
)
tensor([0.0392, 0.0202, 0.0357, 0.0465, 0.0192], device='cuda:0')
Epoch [1/1000], Loss: 0.4684, Saved!
Epoch [1/1000], Loss: 0.4684, Acc: 0.8388,ValidSet Acc: 0.2865
Epoch [2/1000], Loss: 0.8151, Acc: 0.6452,ValidSet Acc: 0.2865
Epoch [3/1000], Loss: 0.8270, Acc: 0.6429,ValidSet Acc: 0.2865
Epoch [4/1000], Loss: 0.7923, Acc: 0.6353,ValidSet Acc: 0.2865
Epoch [5/1000], Loss: 0.8541, Acc: 0.6584,ValidSet Acc: 0.2865
Epoch [6/1000], Loss: 0.7918, Acc: 0.6400,ValidSet Acc: 0.2865
Epoch [7/1000], Loss: 0.9403, Acc: 0.6372,ValidSet Acc: 0.2865
Epoch [8/1000], Loss: 0.8333, Acc: 0.6494,ValidSet Acc: 0.3021
Epoch [9/1000], Loss: 0.7491, Acc: 0.6758,ValidSet Acc: 0.3021
Epoch [10/1000], Loss: 0.7358, Acc: 0.6692,ValidSet Acc: 0.3021
Epoch [11/1000], Loss: 0.8284, Acc: 0.6602,ValidSet Acc: 0.3021
Epoch [12/1000], Loss: 0.8363, Acc: 0.6452,ValidSet Acc: 0.3021
Epoch [13/1000], Loss: 0.8002, Acc: 0.6551,ValidSet Acc: 0.2865
Epoch [14/1000], Loss: 0.7718, Acc: 0.6823,ValidSet Acc: 0.2865
Epoch [15/1000], Loss: 0.8450, Acc: 0.6396,ValidSet Acc: 0.2865
Epoch [16/1000], Loss: 0.7600, Acc: 0.6734,ValidSet Acc: 0.2865
Epoch [17/1000], Loss: 0.7461, Acc: 0.6725,ValidSet Acc: 0.3021
Epoch [18/1000], Loss: 0.7793, Acc: 0.6908,ValidSet Acc: 0.3021
Epoch [19/1000], Loss: 0.7253, Acc: 0.7274,ValidSet Acc: 0.3021
